id,country_id,title_ru,title_kk,title_en,value,created_at,updated_at,deleted_at
1,1,Алматы,Алматы,Almaty,almaty,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
2,1,Астана,Астана,Astana,astana,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
3,1,Караганда,Қарағанды,Karaganda,karaganda,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
4,1,Шымкент,Шымкент,Shymkent,shymkent,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
5,1,Абай,Абай,Abai,abai,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
6,1,Айтеке би,Айтеке би,Aiteke bi,aiteke bi,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
7,1,Аксай,Ақсай,Aksay,aksai,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
8,1,Аксай,Ақсай,Aksay,aksay,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
9,1,Аксу,Ақсу,Aksu,aksu,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
10,1,Аксуат,Аксуат,Aksuat,aksuat,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
11,1,Актау,Ақтау,Aktau,aktau,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
12,1,Актобе,Ақтөбе,Aktobe,aktobe,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
13,1,Алтай,Алтай,altai,altai,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
14,1,Аральск,Арал,Aralsk,aral,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
15,1,Аркалык,Арқалық,Arkalyk,arkalyk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
16,1,Арысь,Арысь,Arys,arys,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
17,1,Атбасар,Атбасар,Atbasar,atbasar,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
18,1,Атырау,Атырау,Atyrau,atyrau,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
19,1,Аулиеколь,Аулиеколь,Auliekol,auliekol,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
20,1,Байконур,Байконур,Baikonur,baikonur,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
21,1,Балхаш,Балхаш,Balhash,balhash,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
22,1,Бейнеу,Бейнеу,Beineu,beineu,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
23,1,Бурабай,Бурабай,Burabay,burabay,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
24,1,Глубокое,Глубокое,Глубокое,glubokoe,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
25,1,Державинск,Державинск,Державинск,derzhavinsk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
26,1,Ерейментау,Ерейментау,Ereymentau,ereymentau,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
27,1,Есік,Есік,Esik,esik,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
28,1,Жайрем,Жәйрем,Zhairem,zhairem,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
29,1,Жанакорган,Жанакорган,Zhanakorgan,zhanakorgan,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
30,1,Жанаозен,Жаңаөзен,Zhanaozen,zhanaozen,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
31,1,Жанарка,Жаңарқа,Zhanarka,zhanarka,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
32,1,Жаркент,Жаркент,Zharkent,zharkent,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
33,1,Жезказган,Жезказган,Zhezkazgan,zhezkazgan,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
34,1,Жетисай,Жетысай,zhetisay,zhetisay,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
35,1,Житикара,Житикара,Zhetikara,zhetikara,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
36,1,Зыряновск,Зыряновск,Zyryanovsk,zyryanovsk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
37,1,Индер,Индер,Inder,inder,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
38,1,Иргели,Иргели,Irgeli,irgeli,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
39,1,Иртышск,Иртышск,Irtyshsk,irtyshsk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
40,1,Иссык,Иссык,Issyk,issyk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
41,1,Казалинск,Казалинск,Kazalinsk,kazalinsk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
42,1,Казалы,Қазалы,Kazaly,kazaly,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
43,1,Кандыагаш,Қандыағаш,Kandyagash,kandyagash,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
44,1,Капшагай,Қапшағай,Kapchagay,kapchagay,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
45,1,Карабулак,Карабулак,Karabulak,karabulak,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
46,1,Каркаралы,Қарқаралы,Karkaraly,karkaraly,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
47,1,Каскелен,Каскелен,Kaskelen,kaskelen,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
48,1,Кентау,Кентау,Kentau,kentau,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
49,1,Кокшетау,Көкшетау,Kokshetau,kokshetau,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
50,1,Конаев,Конаев,Konaev,konaev,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
51,1,Кордай,Кордай,Kordai,kordai,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
52,1,Костанай,Қостанай,Kostanay,kostanay,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
53,1,Красный Яр,Красный Яр,Красный Яр,krasniy,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
54,1,Кульсары,Кульсары,Kulsary,kulsary,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
55,1,Курмангазы,Құрманғазы,Kurmangazy,kurmangazy,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
56,1,Курчатов,Курчатов,Kurchatov,kurchatov,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
57,1,Кызылорда,Қызылорда,Kyzylorda,kyzylorda,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
58,1,Лисаковск,Лисаковск,Lisakovsk,lisakovsk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
59,1,Макинск,Макинск,Makinsk,makinsk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
60,1,Мангыстау,Мангыстау,Mangystau,mangystau,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
61,1,Мерке,Мерке,Merke,merke,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
62,1,Новоишимка,Новоишимка,Novoishimka,novoishimka,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
63,1,Осакаровка,Осакаровка,Osakarovka,osakarovka,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
64,1,Павлодар,Павлодар,Pavlodar,pavlodar,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
65,1,Петропавловск,Петропавл,Petropavlovsk,petropavlovsk,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
66,1,Риддер,Риддер,Ridder,ridder,2025-10-03 05:27:22.327229,2025-10-03 05:27:22.327229,
